camera_id,detect_id,object_id
42,137,80
42,145,80
42,154,80
42,163,80
42,172,80
42,181,80
42,190,80
42,199,80
42,209,80
42,219,80
42,229,80
42,239,80
42,249,80
42,259,80
42,269,80
42,279,80
42,289,80
42,299,80
42,309,80
42,318,80
42,327,80
42,336,80
42,345,80
42,354,80
42,363,80
42,372,80
42,381,80
42,389,80
42,397,80
42,405,80
42,412,80
42,420,80
42,896,77
42,903,77
42,910,77
42,917,77
42,924,77
42,931,77
42,938,77
42,945,77
42,952,77
42,959,77
42,966,77
42,973,77
42,980,77
42,987,77
42,994,77
42,1001,77
42,1008,77
42,1015,77
42,1022,77
42,1029,77
42,1036,77
42,1042,77
42,1048,77
42,1055,77
42,1062,77
42,1069,77
42,1076,77
42,1083,77
42,1091,77
42,1099,77
42,1107,77
42,1115,77
42,1123,77
42,1131,77
42,1139,77
42,2276,67
42,2287,67
42,2298,67
42,2309,67
42,2320,67
42,2331,67
42,2342,67
42,2353,67
42,2364,67
42,2375,67
42,2386,67
42,2396,67
42,2405,67
42,2414,67
42,2422,67
42,2430,67
42,2438,67
42,2446,67
42,2447,68
42,2455,67
42,2456,68
42,2464,67
42,2465,68
42,2473,67
42,2474,68
42,2482,67
42,2483,68
42,2491,67
42,2492,68
42,2500,67
42,2501,68
42,2509,67
42,2510,68
42,2518,67
42,2519,68
42,2527,67
42,2528,68
42,2536,67
42,2537,68
42,2545,67
42,2546,68
42,2554,65
42,2555,67
42,2556,68
42,2564,65
42,2565,68
42,2573,65
42,2574,68
42,2582,65
42,2583,68
42,2591,65
42,2592,68
42,2600,65
42,2601,68
42,2609,65
42,2610,68
42,2618,65
42,2619,68
42,2627,65
42,2629,68
42,2637,65
42,2639,68
42,2648,65
42,2650,68
42,2659,65
42,2661,68
42,2670,65
42,2672,68
42,2681,65
42,2683,68
42,2692,65
42,2694,68
42,2703,65
42,2705,68
42,2714,65
42,2716,68
42,2725,65
42,2727,68
42,2736,65
42,2738,68
42,2747,65
42,2749,68
42,2758,65
42,2768,65
42,2778,65
42,2788,65
42,2798,65
42,2808,65
42,2818,65
42,2829,65
42,2840,65
42,2851,65
42,2863,65
42,2875,65
42,2886,65
42,2897,65
43,7214,77
43,7231,77
43,7247,77
43,7263,77
43,7279,77
43,7295,77
43,7311,77
43,7327,77
43,7343,77
43,7359,77
43,7375,77
43,7390,77
43,7405,77
43,7420,77
43,7434,77
43,7448,77
43,7462,77
43,7476,77
43,7490,77
43,7504,77
43,7518,77
43,7532,77
43,7546,77
43,7560,77
43,7574,77
43,7587,77
43,7589,80
43,7601,77
43,7603,80
43,7615,77
43,7617,80
43,7629,77
43,7631,80
43,7643,77
43,7645,80
43,7657,77
43,7659,80
43,7671,77
43,7673,80
43,7685,77
43,7687,80
43,7699,77
43,7701,80
43,7713,77
43,7715,80
43,7728,77
43,7730,80
43,7742,77
43,7744,80
43,7756,77
43,7758,80
43,7770,77
43,7772,80
43,7784,77
43,7786,80
43,7798,77
43,7800,80
43,7813,77
43,7815,80
43,7827,77
43,7829,80
43,7841,77
43,7843,80
43,7856,77
43,7858,80
43,7871,77
43,7873,80
43,7886,77
43,7888,80
43,7901,77
43,7903,80
43,7915,77
43,7917,80
43,7930,77
43,7932,80
43,7945,77
43,7947,80
43,7960,77
43,7962,80
43,7975,77
43,7977,80
43,7990,77
43,7992,80
43,8005,77
43,8007,80
43,8020,77
43,8022,80
43,8035,77
43,8037,80
43,8050,77
43,8052,80
43,8065,77
43,8067,80
43,8080,77
43,8082,80
43,8095,77
43,8097,80
43,8110,77
43,8112,80
43,8126,77
43,8128,80
43,8142,77
43,8144,80
43,8157,77
43,8159,80
43,8173,80
43,8187,80
43,8201,80
43,8215,80
43,8229,80
43,8243,80
43,8257,80
43,8271,80
43,8285,80
43,8434,67
43,8448,67
43,8463,67
43,8478,67
43,8493,67
43,8507,67
43,8521,67
43,8535,67
43,8549,67
43,8564,67
43,8578,67
43,8592,67
43,8606,67
43,8620,67
43,8634,67
43,8648,67
43,8662,67
43,8675,67
43,8688,67
43,8701,67
43,8714,67
43,8728,67
43,8743,67
43,8759,67
43,8775,67
43,8791,67
43,8807,67
43,8823,67
43,8839,67
43,8855,67
43,8872,67
43,8889,67
43,8896,68
43,8907,67
43,8914,68
43,8925,67
43,8932,68
43,8943,67
43,8950,68
43,8961,67
43,8968,68
43,8985,68
43,9002,68
43,9020,68
43,9038,68
43,9056,68
43,9073,68
43,9089,68
43,9105,68
43,9121,68
43,9123,65
43,9138,68
43,9140,65
43,9155,68
43,9157,65
43,9172,68
43,9174,65
43,9189,68
43,9191,65
43,9205,68
43,9207,65
43,9221,68
43,9223,65
43,9236,68
43,9238,65
43,9251,68
43,9253,65
43,9266,68
43,9268,65
43,9281,68
43,9283,65
43,9296,68
43,9298,65
43,9311,68
43,9313,65
43,9326,68
43,9328,65
43,9341,68
43,9343,65
43,9356,68
43,9358,65
43,9370,68
43,9372,65
43,9385,68
43,9387,65
43,9400,68
43,9402,65
43,9416,65
43,9430,65
43,9443,65
43,9457,65
43,9471,65
43,9485,65
43,9498,65
43,9511,65
43,9524,65
43,9537,65
43,9552,65
43,9567,65
43,9582,65
43,9597,65
43,9613,65
43,9629,65
43,9645,65
43,9661,65
43,9678,65
43,9695,65
43,9711,65
43,9727,65
43,9743,65
43,9759,65
44,8806,80
44,8818,80
44,8830,80
44,8841,80
44,8852,80
44,8863,80
44,8874,80
44,8885,80
44,8895,80
44,8905,80
44,8915,80
44,8925,80
44,8935,80
44,8945,80
44,8955,80
44,8965,80
44,8975,80
44,8985,80
44,8995,80
44,9005,80
44,9015,80
44,9025,80
44,9035,80
44,9045,80
44,9055,80
44,9064,80
44,9072,80
44,9080,80
44,9088,80
44,9096,80
44,9104,80
44,9112,80
44,9121,80
44,9123,77
44,9131,80
44,9133,77
44,9142,77
44,9151,77
44,9160,77
44,9170,77
44,9180,77
44,9190,77
44,9200,77
44,9210,77
44,9219,77
44,9228,77
44,9237,77
44,9246,77
44,9255,77
44,9264,77
44,9273,77
44,9282,77
44,9291,77
44,9300,77
44,9309,77
44,9318,77
44,9327,77
44,9337,77
44,9347,77
44,9357,77
44,9367,77
44,9377,77
44,9387,77
44,9397,77
44,9406,77
44,9409,67
44,9416,77
44,9419,67
44,9426,77
44,9429,67
44,9435,77
44,9438,67
44,9443,77
44,9446,67
