detect_id,camera_track_id,frame_id,x,y,w,h
0,1,13375,1693.0,345.0,155.0,339.0
1,1,13376,1690.6,345.0,151.8,361.4
2,1,13377,1689.36,345.0,144.2,366.38
3,1,13378,1679.34,345.0,147.33,371.2
4,1,13379,1678.72,345.0,163.37,402.16
5,1,13380,1673.09,345.0,172.78,409.68
6,1,13381,1669.77,345.0,179.48,415.25
7,1,13382,1666.02,345.0,183.78,418.19
8,1,13383,1662.11,345.67,187.81,428.91
9,1,13384,1656.82,347.24,193.07,437.91
10,1,13385,1646.46,348.5,191.0,431.81
11,1,13386,1641.27,349.63,187.28,432.98
12,1,13387,1631.55,350.04,192.94,441.08
13,1,13388,1624.78,351.49,194.96,436.08
14,1,13389,1621.07,352.03,197.55,435.16
15,1,13390,1614.62,351.55,191.89,432.64
16,1,13391,1609.07,352.01,191.49,440.09
17,1,13392,1607.18,352.16,185.99,435.56
18,1,13393,1607.38,352.86,179.78,430.33
19,1,13394,1606.34,352.45,174.05,426.23
20,1,13395,1605.47,351.61,169.21,420.63
21,1,13396,1599.25,350.61,170.83,423.78
22,1,13397,1595.76,348.92,172.77,427.57
23,1,13398,1591.29,347.61,174.18,426.99
24,1,13399,1584.46,347.12,179.35,412.18
25,1,13400,1587.91,346.28,170.81,390.4
26,1,13401,1584.15,345.98,171.47,373.51
27,1,13402,1575.58,347.93,176.37,377.78
28,1,13403,1560.03,347.96,192.61,386.76
29,1,13404,1546.61,347.98,206.98,399.47
30,1,13405,1538.27,348.64,213.9,393.17
31,1,13406,1533.25,348.9,217.83,391.41
32,1,13407,1528.93,348.99,214.75,398.09
33,1,13408,1522.3,345.07,216.63,420.35
34,1,13409,1520.61,350.71,212.06,401.56
35,1,13410,1516.29,354.32,210.16,394.56
36,1,13411,1510.91,352.98,210.02,394.64
37,1,13412,1519.58,357.1,195.45,385.42
38,1,13413,1528.72,359.31,180.89,355.89
39,1,13414,1530.87,366.96,171.48,316.03
40,1,13415,1527.61,359.74,167.54,345.14
41,1,13416,1516.97,356.81,172.4,374.69
42,1,13417,1512.56,356.96,170.85,389.94
