detect_id,frame_id,camera_track_id,x,y,w,h
0,1,1,175,215,124,62
1,1,3,321,140,66,38
2,1,4,839,203,93,100
3,1,5,799,124,71,34
4,1,6,939,112,52,31
5,1,7,160,148,43,21
6,1,8,1040,108,34,22
7,1,9,516,183,119,76
8,1,10,986,103,39,23
9,1,11,1182,155,31,29
10,1,12,1080,108,28,19
11,1,13,515,156,171,116
12,2,1,145,222,121,64
13,2,3,321,140,66,38
14,2,4,841,207,109,105
15,2,5,789,125,72,39
16,2,6,935,112,53,31
17,2,7,165,148,44,21
18,2,8,1038,108,35,22
19,2,9,509,190,103,85
20,2,10,978,103,38,23
21,2,11,1182,153,30,29
22,2,12,1080,108,28,19
23,2,13,508,157,167,112
24,3,1,112,231,122,66
25,3,3,321,140,66,38
26,3,4,844,213,119,110
27,3,5,779,126,73,41
28,3,6,930,112,54,31
29,3,7,170,148,45,21
30,3,8,1036,108,35,22
31,3,9,503,196,98,91
32,3,10,968,103,39,23
33,3,11,1183,151,29,28
34,3,12,1079,108,28,19
35,3,13,503,160,162,112
36,4,1,79,240,123,68
37,4,3,321,140,66,38
38,4,4,848,220,126,116
39,4,5,768,127,74,41
40,4,6,925,113,54,32
41,4,7,175,147,45,22
42,4,8,1034,108,36,23
43,4,9,498,202,98,94
44,4,10,958,104,40,23
45,4,11,1183,150,29,27
46,4,12,1078,108,28,19
47,4,13,500,164,157,116
48,5,1,47,249,121,69
49,5,3,321,140,66,38
50,5,4,852,227,133,122
51,5,5,758,128,76,41
52,5,6,919,114,54,32
53,5,7,180,146,45,23
54,5,8,1031,108,36,23
55,5,9,494,208,102,97
56,5,10,947,104,42,24
57,5,11,1184,148,28,27
58,5,12,1077,108,28,19
59,5,13,498,168,152,122
60,6,1,21,259,115,70
61,6,3,321,140,66,38
62,6,4,857,235,141,128
63,6,5,746,129,78,40
64,6,6,914,115,55,32
65,6,7,185,145,46,23
66,6,8,1028,109,36,23
67,6,9,492,214,106,101
68,6,10,935,105,44,24
69,6,11,1184,147,28,26
70,6,12,1076,108,28,19
71,6,13,497,173,148,129
72,7,1,2,269,100,70
73,7,3,321,140,66,38
74,7,4,863,243,152,135
75,7,5,735,130,80,40
76,7,6,908,115,56,33
77,7,7,191,145,47,23
78,7,8,1026,109,36,23
79,7,9,490,219,111,105
80,7,10,923,105,46,25
81,7,11,1185,145,28,26
82,7,12,1075,108,28,19
83,7,13,497,178,143,135
84,8,1,1,278,70,68
85,8,3,321,140,66,38
86,8,4,870,252,166,143
87,8,5,723,131,82,41
88,8,6,902,116,57,33
89,8,7,196,145,47,23
90,8,8,1023,109,36,23
91,8,9,489,225,114,111
92,8,10,909,106,49,26
93,8,11,1185,144,28,25
94,8,12,1074,108,29,19
95,8,13,497,184,140,140
96,9,1,2,287,36,63
97,9,3,321,140,66,38
98,9,4,879,260,183,152
99,9,5,711,132,83,42
100,9,6,896,116,58,33
101,9,7,200,144,48,23
102,9,8,1021,109,37,23
103,9,9,489,231,117,120
104,9,10,895,107,51,27
105,9,11,1186,143,27,25
106,9,12,1073,108,29,19
107,9,13,497,189,136,143
108,10,3,321,140,66,38
109,10,4,889,269,201,161
110,10,5,699,134,85,44
111,10,6,889,117,60,33
112,10,7,206,144,48,23
113,10,8,1018,109,38,23
114,10,9,490,237,121,131
115,10,10,879,108,54,28
116,10,11,1187,142,27,24
117,10,12,1072,108,29,19
118,10,13,496,195,133,145
119,11,3,321,140,66,38
120,11,4,901,279,219,171
121,11,5,686,135,86,47
122,11,6,882,117,61,33
123,11,7,211,144,49,23
124,11,8,1015,110,38,23
125,11,9,492,244,125,144
126,11,10,863,108,57,29
127,11,11,1188,140,26,24
128,11,12,1070,108,29,19
129,11,13,496,200,129,145
130,12,3,321,140,66,38
131,12,4,914,289,237,182
132,12,5,674,137,88,49
133,12,6,875,118,63,34
134,12,7,216,144,49,22
135,12,8,1012,110,39,23
136,12,9,495,253,132,160
137,12,10,846,109,60,30
138,12,11,1189,139,26,23
139,12,12,1069,108,29,20
140,12,13,496,206,127,144
141,13,3,321,140,65,38
142,13,4,930,301,252,193
143,13,5,661,139,89,51
144,13,6,868,118,64,34
145,13,7,221,143,49,23
146,13,8,1008,110,40,23
147,13,9,499,263,144,179
148,13,10,827,111,63,32
149,13,11,1190,138,25,23
150,13,12,1067,108,29,20
151,13,13,495,212,124,142
152,14,3,321,140,65,38
153,14,4,948,314,262,205
154,14,5,649,141,90,53
155,14,6,860,118,65,35
156,14,7,226,143,50,23
157,14,8,1005,110,40,23
158,14,9,504,274,161,198
159,14,10,808,112,67,33
160,14,11,1191,137,24,23
161,14,12,1066,108,30,20
162,14,13,494,218,123,141
163,15,3,321,140,65,38
164,15,4,969,328,267,217
165,15,5,637,143,91,54
166,15,6,853,119,66,36
167,15,7,230,143,50,23
168,15,8,1001,111,41,23
169,15,9,511,288,184,218
170,15,10,787,113,70,35
171,15,11,1192,136,24,22
172,15,12,1064,109,30,20
173,15,13,493,224,124,140
174,16,3,321,140,65,38
175,16,4,992,343,265,229
176,16,5,624,145,92,55
177,16,6,845,120,67,36
178,16,7,235,143,49,23
179,16,8,998,111,41,24
180,16,9,520,304,214,238
181,16,10,766,115,74,36
182,16,11,1193,135,23,22
183,16,12,1063,109,30,20
184,16,13,493,232,127,141
185,17,3,321,140,65,38
186,17,4,1017,360,255,239
187,17,5,612,148,93,56
188,17,6,836,120,68,37
189,17,7,240,143,49,23
190,17,8,994,111,42,24
191,17,9,532,322,251,255
192,17,10,743,117,77,37
193,17,11,1194,134,22,21
194,17,12,1061,109,30,20
195,17,13,493,240,132,145
196,18,3,321,140,65,38
197,18,4,1045,377,235,248
198,18,5,600,150,94,56
199,18,6,828,121,70,38
200,18,7,245,142,49,24
201,18,8,990,111,42,25
202,18,9,547,343,293,270
203,18,10,719,119,81,39
204,18,11,1195,134,22,21
205,18,12,1059,109,31,20
206,18,13,494,249,141,151
207,19,3,321,140,65,38
208,19,4,1076,394,204,254
209,19,5,588,153,95,57
210,19,6,819,122,71,39
211,19,7,248,142,49,24
212,19,8,986,111,43,25
213,19,9,566,366,339,281
214,19,10,693,121,85,40
215,19,11,1197,133,22,21
216,19,12,1057,109,31,20
217,19,13,496,260,155,160
218,20,3,321,140,65,38
219,20,4,1110,411,170,257
220,20,5,577,156,96,57
221,20,6,811,122,72,40
222,20,7,252,142,49,24
223,20,8,981,111,43,26
224,20,9,590,392,384,286
225,20,10,666,123,89,42
226,20,11,1198,132,22,20
227,20,12,1055,109,31,20
228,20,13,500,273,173,172
229,21,3,321,140,65,38
230,21,4,1146,426,134,255
231,21,5,565,159,96,58
232,21,6,802,123,74,40
233,21,7,256,142,48,24
234,21,8,977,111,44,26
235,21,9,620,420,424,283
236,21,10,638,126,92,44
237,21,11,1199,131,21,20
238,21,12,1053,109,31,20
239,21,13,507,287,195,187
240,22,3,321,140,65,38
241,22,4,1186,437,92,247
242,22,5,554,162,97,58
243,22,6,792,124,76,41
244,22,7,260,142,48,25
245,22,8,973,112,45,27
246,22,9,657,450,453,270
247,22,10,607,129,96,45
248,22,11,1200,131,21,19
249,22,12,1051,109,31,21
250,22,13,517,304,222,205
251,23,3,321,140,65,38
252,23,4,1228,444,48,231
253,23,5,543,165,97,60
254,23,6,783,125,77,42
255,23,7,263,142,48,25
256,23,8,968,112,46,27
257,23,9,701,482,461,238
258,23,10,575,133,100,48
259,23,11,1202,130,21,19
260,23,12,1049,109,32,21
261,23,13,531,323,253,223
262,24,3,321,140,65,38
263,24,5,532,168,97,62
264,24,6,773,125,79,42
265,24,7,265,142,48,25
266,24,8,963,112,47,28
267,24,9,755,517,440,203
268,24,10,540,137,104,50
269,24,11,1203,130,21,19
270,24,12,1046,109,32,21
271,24,13,550,344,286,241
272,25,3,321,140,65,38
273,25,5,522,171,97,64
274,25,6,764,126,81,43
275,25,7,268,142,47,26
276,25,8,958,112,48,28
277,25,9,820,553,376,167
278,25,10,503,142,109,53
279,25,11,1204,129,20,18
280,25,12,1044,109,32,21
281,25,13,575,368,320,256
282,26,3,321,140,65,38
283,26,5,512,175,97,67
284,26,6,754,127,83,43
285,26,7,271,142,46,26
286,26,8,953,112,49,28
287,26,9,896,591,255,114
288,26,10,463,147,113,56
289,26,11,1206,129,20,18
290,26,12,1041,109,33,22
291,26,13,608,395,350,268
292,27,3,321,140,66,38
293,27,5,503,179,97,70
294,27,6,743,128,84,44
295,27,7,273,142,46,26
296,27,8,948,112,50,28
297,27,10,421,153,117,59
298,27,12,1038,109,33,22
299,27,13,650,425,373,272
300,28,3,321,140,66,38
301,28,5,494,182,97,73
302,28,6,733,129,86,45
303,28,7,275,142,46,26
304,28,8,942,113,51,29
305,28,10,377,160,122,63
306,28,12,1035,110,34,22
307,28,13,702,457,384,263
308,29,3,320,140,66,38
309,29,5,486,186,97,77
310,29,6,722,130,87,46
311,29,7,276,143,45,26
312,29,8,936,113,52,29
313,29,10,330,167,126,66
314,29,12,1032,110,34,22
315,29,13,766,492,376,228
316,30,3,320,140,66,38
317,30,5,478,191,96,81
318,30,6,712,131,89,47
319,30,7,278,143,44,26
320,30,8,930,113,53,30
321,30,10,281,176,131,70
322,30,12,1029,110,35,22
323,30,13,844,530,341,190
324,31,3,321,140,66,38
325,31,5,471,195,96,85
326,31,6,701,133,90,48
327,31,7,280,143,44,26
328,31,8,924,114,53,30
329,31,10,231,185,134,74
330,31,12,1025,110,36,22
331,31,13,938,569,269,151
332,32,3,320,141,66,38
333,32,5,465,200,95,88
334,32,6,690,134,91,50
335,32,7,281,143,44,27
336,32,8,917,114,54,31
337,32,10,181,196,135,78
338,32,12,1021,110,36,22
339,32,13,1051,611,149,86
340,33,3,320,141,66,38
341,33,5,459,204,95,92
342,33,6,680,136,92,51
343,33,7,282,143,43,27
344,33,8,910,115,55,31
345,33,10,132,208,134,81
346,33,12,1018,110,37,22
347,34,3,321,140,66,38
348,34,5,454,210,94,95
349,34,6,669,138,92,52
350,34,7,283,143,43,27
351,34,8,903,115,55,32
352,34,10,86,221,130,83
353,34,12,1014,111,38,23
354,35,3,321,141,66,38
355,35,5,450,215,94,98
356,35,6,658,139,93,54
357,35,7,283,143,45,27
358,35,8,896,116,56,33
359,35,10,45,234,120,84
360,35,12,1010,111,38,23
361,36,3,321,141,66,38
362,36,5,446,221,94,101
363,36,6,648,141,94,55
364,36,7,284,143,44,28
365,36,8,888,116,57,33
366,36,10,12,249,103,84
367,36,12,1005,111,39,23
368,37,3,321,141,66,38
369,37,5,443,227,95,105
370,37,6,638,143,95,57
371,37,7,284,143,45,28
372,37,8,880,117,58,34
373,37,10,1,264,67,81
374,37,12,1001,111,39,23
375,38,3,321,141,66,38
376,38,5,441,234,96,109
377,38,6,627,145,96,58
378,38,7,285,143,45,28
379,38,8,872,118,60,34
380,38,12,996,111,40,24
381,39,3,321,141,66,38
382,39,5,440,240,98,114
383,39,6,617,147,97,59
384,39,7,285,143,44,28
385,39,8,864,118,61,35
386,39,12,992,112,41,24
387,40,3,320,141,66,38
388,40,5,440,248,101,120
389,40,6,607,150,98,60
390,40,7,285,143,43,28
391,40,8,855,119,63,36
392,40,12,987,112,41,25
393,41,3,321,140,66,38
394,41,5,440,256,106,128
395,41,6,597,152,99,61
396,41,7,285,143,43,28
397,41,8,846,120,65,36
398,41,12,982,112,42,25
399,42,3,321,140,66,38
400,42,5,442,265,113,138
401,42,6,588,154,100,63
402,42,7,285,143,43,28
403,42,8,837,120,67,36
404,42,12,976,112,43,26
405,43,3,321,141,66,38
406,43,5,444,274,121,149
407,43,6,578,157,100,64
408,43,7,285,143,43,28
409,43,8,827,121,69,37
410,43,12,971,112,44,26
411,44,3,321,140,66,38
412,44,5,448,285,132,162
413,44,6,569,159,101,65
414,44,7,285,143,42,28
415,44,8,817,122,71,37
416,44,12,965,112,45,27
417,45,3,321,141,66,38
418,45,5,453,296,146,177
419,45,6,559,162,102,67
420,45,7,285,143,42,28
421,45,8,807,123,73,38
422,45,12,959,113,46,27
423,46,3,321,141,66,38
424,46,5,460,309,162,193
425,46,6,550,164,103,69
426,46,7,285,143,42,28
427,46,8,796,124,75,38
428,46,12,953,113,48,28
429,47,3,321,141,66,38
430,47,5,469,322,182,209
431,47,6,541,167,103,71
432,47,7,285,143,42,28
433,47,8,785,124,77,39
434,47,12,946,113,49,28
435,48,3,321,141,66,38
436,48,5,480,338,205,225
437,48,6,533,170,103,73
438,48,7,285,143,42,28
439,48,8,774,125,78,40
440,48,12,939,113,50,28
441,49,3,321,140,66,38
442,49,5,494,355,230,240
443,49,6,524,173,103,76
444,49,7,285,143,43,28
445,49,8,762,126,80,41
446,49,12,933,114,51,29
447,50,3,321,140,66,38
448,50,5,512,374,258,252
449,50,6,516,176,103,79
450,50,7,285,143,43,28
451,50,8,750,127,81,42
452,50,12,926,114,52,29
453,51,3,321,140,66,38
454,51,5,534,395,287,259
455,51,6,508,179,103,83
456,51,7,285,143,44,28
457,51,8,738,129,83,44
458,51,12,918,115,53,29
459,52,3,321,140,66,38
460,52,5,561,418,316,261
461,52,6,501,183,103,87
462,52,7,285,143,44,28
463,52,8,726,130,84,45
464,52,12,911,115,54,30
465,53,3,321,140,66,38
466,53,5,593,443,344,257
467,53,6,494,187,102,90
468,53,7,285,143,44,28
469,53,8,713,131,85,46
470,53,12,903,116,55,30
471,54,3,321,140,66,38
472,54,5,632,470,369,245
473,54,6,488,190,102,94
474,54,7,285,143,44,28
475,54,8,700,133,86,48
476,54,12,896,116,56,31
477,55,3,321,140,66,38
478,55,5,679,500,387,220
479,55,6,482,194,102,98
480,55,7,285,143,44,27
481,55,8,687,134,88,50
482,55,12,888,117,56,31
483,56,3,321,140,66,38
484,56,5,734,532,395,188
485,56,6,477,199,102,102
486,56,7,285,143,44,27
487,56,8,674,136,89,51
488,56,12,880,117,57,32
489,57,3,321,140,66,38
490,57,5,798,566,388,154
491,57,6,473,203,102,106
492,57,7,285,143,44,27
493,57,8,661,138,90,52
494,57,12,872,118,59,33
495,58,3,321,140,66,38
496,58,5,873,601,361,119
497,58,6,469,208,102,110
498,58,7,285,143,44,28
499,58,8,648,140,92,54
500,58,12,863,119,60,33
501,58,20,1132,114,23,16
502,59,3,321,140,66,38
503,59,5,959,638,309,79
504,59,6,467,213,103,115
505,59,7,285,143,44,27
506,59,8,635,142,93,55
507,59,12,855,119,61,34
508,59,20,1129,114,22,16
509,60,3,321,140,66,38
510,60,5,1058,675,222,41
511,60,6,465,218,104,119
512,60,7,285,143,44,27
513,60,8,622,145,95,56
514,60,12,846,120,62,35
515,60,20,1126,114,23,17
516,61,3,321,140,66,38
517,61,6,464,223,105,124
518,61,7,285,143,44,27
519,61,8,609,147,97,57
520,61,12,837,120,64,35
521,61,20,1122,114,24,17
522,62,3,320,140,66,38
523,62,6,463,229,108,129
524,62,7,285,143,44,27
525,62,8,596,150,98,58
526,62,12,828,121,65,36
527,62,20,1118,114,26,17
528,63,3,320,140,66,38
529,63,6,463,236,111,135
530,63,7,285,143,44,28
531,63,8,584,153,100,59
532,63,12,819,122,67,36
533,63,20,1114,115,27,17
534,64,3,320,140,66,38
535,64,6,464,243,115,142
536,64,7,285,143,44,28
537,64,8,571,156,101,60
538,64,12,809,122,68,37
539,64,20,1110,115,27,17
540,65,3,320,140,66,38
541,65,6,465,250,121,150
542,65,7,285,143,44,28
543,65,8,559,159,102,61
544,65,12,800,123,70,37
545,65,20,1106,115,27,17
546,66,3,320,140,66,38
547,66,6,468,258,128,159
548,66,7,285,143,44,28
549,66,8,547,163,103,63
550,66,12,790,124,71,38
551,66,20,1101,115,28,18
552,67,3,320,141,66,38
553,67,6,471,267,138,170
554,67,7,285,143,44,28
555,67,8,535,166,103,65
556,67,12,780,125,73,39
557,67,20,1097,116,28,18
558,68,3,321,140,66,38
559,68,6,475,277,149,182
560,68,7,285,143,43,28
561,68,8,524,170,103,67
562,68,12,770,126,74,39
563,68,20,1093,116,28,18
564,68,21,1044,95,26,19
565,69,3,320,140,66,38
566,69,6,480,287,163,195
567,69,7,285,143,44,28
568,69,8,513,174,103,70
569,69,12,759,127,75,40
570,69,20,1089,116,28,19
571,69,21,1039,95,26,19
572,70,3,320,140,66,38
573,70,6,486,299,180,209
574,70,7,285,143,43,28
575,70,8,502,178,102,72
576,70,12,749,128,76,41
577,70,20,1084,117,29,19
578,70,21,1032,95,26,19
579,71,3,321,140,66,38
580,71,6,494,311,199,224
581,71,7,286,143,42,28
582,71,8,493,182,101,76
583,71,12,738,129,78,42
584,71,20,1079,117,29,19
585,71,21,1023,95,28,20
586,72,3,321,140,66,38
587,72,6,505,325,221,238
588,72,7,286,143,43,28
589,72,8,484,187,100,79
590,72,12,728,130,79,43
591,72,20,1075,118,30,19
592,72,21,1015,95,29,20
593,73,3,321,140,66,38
594,73,6,517,341,246,252
595,73,7,286,143,43,28
596,73,8,476,191,99,82
597,73,12,717,131,80,45
598,73,20,1070,118,32,20
599,73,21,1005,96,30,20
600,74,3,321,140,66,38
601,74,6,533,357,273,264
602,74,7,286,143,43,28
603,74,8,468,196,98,86
604,74,12,706,133,82,46
605,74,20,1064,119,33,20
606,74,21,996,96,32,20
607,74,22,1072,102,27,17
608,75,3,321,140,66,38
609,75,6,551,375,302,273
610,75,7,286,143,43,28
611,75,8,462,201,97,90
612,75,12,695,134,83,47
613,75,20,1059,119,34,20
614,75,21,986,97,33,20
615,75,22,1065,102,28,17
616,76,3,321,140,66,38
617,76,6,574,394,331,278
618,76,7,286,143,43,28
619,76,8,457,206,97,94
620,76,12,684,136,85,48
621,76,20,1053,120,35,20
622,76,21,976,97,34,21
623,76,22,1057,102,29,17
624,77,3,321,140,66,38
625,77,6,601,415,359,278
626,77,7,286,143,43,28
627,77,8,452,212,97,98
628,77,12,672,137,86,49
629,77,20,1047,120,36,21
630,77,21,965,97,35,21
631,77,22,1049,102,30,17
632,78,3,321,140,66,38
633,78,6,632,438,385,272
634,78,7,286,143,43,28
635,78,8,449,217,97,102
636,78,12,661,139,88,50
637,78,20,1042,121,37,21
638,78,21,954,98,37,22
639,78,22,1041,102,31,18
640,79,3,321,140,66,38
641,79,6,669,461,406,259
642,79,7,286,143,43,28
643,79,8,446,224,99,107
644,79,12,650,141,90,51
645,79,20,1036,121,38,21
646,79,21,942,98,38,22
647,79,22,1032,102,32,19
648,80,3,320,140,66,38
649,80,6,711,486,420,234
650,80,7,286,143,43,28
651,80,8,444,230,101,112
652,80,12,638,142,91,52
653,80,20,1029,121,39,22
654,80,21,930,99,39,23
655,80,22,1022,103,33,20
656,81,3,320,140,66,38
657,81,6,759,513,424,207
658,81,7,285,143,43,28
659,81,8,443,237,104,118
660,81,12,627,144,93,53
661,81,20,1023,122,40,22
662,81,21,917,99,40,23
663,81,22,1013,103,34,20
664,81,23,1250,238,26,55
665,82,3,320,140,66,38
666,82,6,813,540,416,180
667,82,7,285,143,43,28
668,82,8,443,244,109,125
669,82,12,615,146,94,54
670,82,20,1017,122,40,22
671,82,21,903,100,42,24
672,82,22,1003,103,36,21
673,82,23,1239,232,41,53
674,83,3,320,140,66,38
675,83,6,873,569,392,151
676,83,7,285,143,43,28
677,83,8,444,252,115,133
678,83,12,604,149,96,55
679,83,20,1011,122,41,23
680,83,21,888,100,43,25
681,83,22,992,103,37,22
682,83,23,1229,227,51,51
683,84,3,320,140,66,38
684,84,6,939,597,341,117
685,84,7,285,143,43,28
686,84,8,446,261,123,142
687,84,12,593,151,97,56
688,84,20,1004,123,42,23
689,84,21,872,101,45,26
690,84,22,980,103,38,23
691,84,23,1220,221,60,50
692,85,3,320,140,66,38
693,85,6,1011,626,269,84
694,85,7,285,143,43,28
695,85,8,449,270,133,152
696,85,12,581,153,98,57
697,85,20,998,123,43,24
698,85,21,854,102,47,26
699,85,22,968,103,40,24
700,85,23,1211,215,68,48
701,86,3,320,140,66,38
702,86,6,1089,654,191,58
703,86,7,285,143,43,28
704,86,8,454,280,146,164
705,86,12,570,156,98,58
706,86,20,991,123,44,25
707,86,21,836,103,50,27
708,86,22,954,104,42,25
709,86,23,1204,210,72,47
710,87,3,320,140,66,38
711,87,6,1172,681,92,39
712,87,7,285,143,43,28
713,87,8,460,291,160,178
714,87,12,559,158,99,59
715,87,20,984,124,45,25
716,87,21,817,104,52,28
717,87,22,940,104,44,26
718,87,23,1196,205,73,46
719,88,3,320,140,66,38
720,88,7,285,143,43,28
721,88,8,467,303,178,192
722,88,12,549,161,100,61
723,88,20,977,125,46,26
724,88,21,796,106,55,29
725,88,22,924,105,46,27
726,88,23,1190,200,73,45
727,89,3,320,140,66,38
728,89,7,285,143,43,28
729,89,8,477,316,198,208
730,89,12,538,163,100,62
731,89,20,971,125,48,26
732,89,21,774,107,58,30
733,89,22,907,106,49,28
734,89,23,1183,196,72,44
735,90,3,320,140,66,38
736,90,7,285,143,43,28
737,90,8,489,330,221,223
738,90,12,528,166,101,64
739,90,20,963,126,49,27
740,90,21,750,109,61,32
741,90,22,889,107,52,29
742,90,23,1178,192,69,43
743,91,3,320,140,66,38
744,91,7,286,143,42,28
745,91,8,504,345,246,238
746,91,12,517,169,101,65
747,91,20,956,127,51,27
748,91,21,725,111,64,33
749,91,22,870,108,54,30
750,91,23,1172,188,66,42
751,92,3,320,140,66,38
752,92,7,286,143,42,28
753,92,8,522,362,273,251
754,92,12,507,172,102,67
755,92,20,949,127,52,28
756,92,21,698,113,67,34
757,92,22,849,110,58,31
758,92,23,1168,184,63,40
759,93,3,320,140,66,38
760,93,7,286,143,42,28
761,93,8,544,380,302,261
762,93,12,497,175,103,69
763,93,20,942,128,53,28
764,93,21,670,115,70,36
765,93,22,827,111,61,33
766,93,23,1163,181,59,39
767,94,3,320,140,66,38
768,94,7,286,143,43,28
769,94,8,570,399,331,267
770,94,12,487,178,104,71
771,94,20,934,129,54,28
772,94,21,640,118,73,38
773,94,22,803,113,64,34
774,94,23,1160,177,56,38
775,95,3,320,140,66,38
776,95,7,286,143,42,28
777,95,8,600,420,359,269
778,95,12,477,181,105,72
779,95,20,927,130,55,29
780,95,21,607,121,76,40
781,95,22,778,115,68,35
782,95,23,1156,174,52,37
783,96,3,320,140,66,38
784,96,7,286,143,42,28
785,96,8,635,442,383,265
786,96,12,467,185,107,74
787,96,20,919,131,56,29
788,96,21,573,125,79,42
789,96,22,750,117,71,37
790,96,23,1153,171,49,36
791,97,3,320,140,66,38
792,97,7,285,143,43,28
793,97,8,675,466,403,254
794,97,12,458,188,108,75
795,97,20,911,132,57,29
796,97,21,536,129,83,44
797,97,22,720,120,75,39
798,97,23,1151,169,46,36
799,98,3,320,140,66,38
800,98,7,285,143,43,28
801,98,8,720,490,415,230
802,98,12,448,192,109,77
803,98,20,904,133,57,30
804,98,21,496,134,86,47
805,98,22,688,123,80,41
806,98,23,1149,166,43,35
807,99,3,320,140,66,38
808,99,7,285,143,43,28
809,99,8,771,516,417,204
810,99,12,439,196,110,79
811,99,20,896,134,57,30
812,99,21,454,139,90,50
813,99,22,653,127,84,43
814,99,23,1147,164,41,34
815,100,3,321,140,66,38
816,100,7,285,143,44,28
817,100,8,826,543,406,177
818,100,12,430,200,110,81
819,100,20,889,135,58,31
820,100,21,409,146,93,53
821,100,22,614,131,89,45
822,100,23,1145,161,39,33
823,101,3,320,140,66,38
824,101,7,285,143,43,28
825,101,8,887,570,379,150
826,101,12,422,205,110,83
827,101,20,881,136,58,31
828,101,21,362,153,97,56
829,101,22,573,136,95,48
