camera_id,detect_id,global_object_id
1,2,1002
1,3,1001
1,5,1006
1,6,1003
1,1,1004
1,4,1007
1,7,1005
1,8,1004
1,10,1004
1,12,1005
1,13,1008
1,15,1003
1,16,1006
1,17,1003
1,18,1003
1,20,1005
1,21,1006
1,23,1005
1,24,1007
1,25,1004
1,26,1003
1,27,1004
1,28,1007
1,29,1004
1,31,1001
1,32,1003
1,33,1007
1,34,1005
1,37,1001
1,39,1002
1,41,1002
1,42,1006
1,43,1007
1,44,1004
1,45,1003
1,46,1001
1,47,1006
1,48,1004
1,50,1005
1,51,1005
1,52,1002
1,53,1003
1,54,1006
1,56,1006
1,57,1006
1,59,1005
1,60,1001
1,62,1006
1,63,1005
1,64,1006
1,65,1004
1,66,1007
1,67,1003
1,68,1001
1,69,1007
1,70,1006
1,71,1003
1,73,1007
1,74,1004
1,75,1005
1,76,1004
1,77,1001
1,78,1002
1,79,1001
1,80,1005
1,81,1001
1,82,1003
1,84,1007
1,85,1003
1,89,1006
1,90,1006
1,91,1007
1,93,1003
1,95,1001
1,97,1006
1,100,1004
1,101,1007
1,103,1004
1,104,1004
1,105,1005
1,106,1004
1,107,1004
1,108,1001
1,110,1002
1,111,1002
1,113,1004
1,116,1005
1,117,1002
1,119,1007
1,120,1005
1,121,1002
1,123,1006
1,124,1007
1,126,1007
1,127,1006
1,128,1007
1,129,1006
1,132,1004
1,130,1005
1,133,1001
1,136,1003
1,137,1001
1,138,1006
1,139,1003
1,140,1002
1,141,1007
1,144,1003
1,145,1001
1,147,1005
1,149,1004
1,150,1002
1,151,1005
1,152,1007
1,154,1007
1,153,1003
1,155,1007
1,156,1005
1,157,1006
1,158,1007
1,161,1006
1,164,1005
1,165,1003
1,162,1002
1,166,1001
1,169,1007
1,170,1002
1,171,1001
1,172,1004
1,173,1007
1,174,1002
1,175,1003
1,176,1001
1,179,1007
1,180,1004
1,181,1004
1,183,1004
1,131,-1
1,134,-1
1,135,-1
1,9,-1
1,11,-1
1,14,-1
1,142,-1
1,143,-1
1,146,-1
1,19,-1
1,148,-1
1,22,-1
1,30,-1
1,159,-1
1,160,-1
1,35,-1
1,36,-1
1,163,-1
1,38,-1
1,167,-1
1,40,-1
1,168,-1
1,49,-1
1,177,-1
1,178,-1
1,182,-1
1,55,-1
1,58,-1
1,61,-1
1,72,-1
1,83,-1
1,86,-1
1,87,-1
1,88,-1
1,92,-1
1,94,-1
1,96,-1
1,98,-1
1,99,-1
1,102,-1
1,109,-1
1,112,-1
1,114,-1
1,115,-1
1,118,-1
1,122,-1
1,125,-1
2,1,1003
2,2,1006
2,3,1002
2,4,1001
2,6,1003
2,7,1001
2,8,1001
2,9,1001
2,11,1001
2,12,1004
2,13,1003
2,14,1001
2,17,1007
2,18,1007
2,19,1007
2,21,1007
2,22,1001
2,23,1003
2,24,1007
2,28,1007
2,31,1005
2,36,1007
2,37,1003
2,39,1001
2,40,1005
2,43,1004
2,42,1006
2,44,1006
2,45,1008
2,46,1005
2,47,1003
2,50,1001
2,52,1007
2,53,1003
2,54,1005
2,55,1006
2,57,1006
2,58,1003
2,59,1007
2,60,1001
2,61,1005
2,62,1005
2,63,1002
2,64,1004
2,65,1006
2,66,1005
2,67,1003
2,68,1005
2,69,1003
2,70,1005
2,73,1006
2,74,1005
2,75,1003
2,76,1005
2,78,1006
2,80,1005
2,82,1002
2,83,1007
2,84,1003
2,85,1007
2,86,1005
2,87,1007
2,89,1007
2,90,1007
2,92,1007
2,93,1003
2,94,1002
2,96,1004
2,97,1003
2,98,1002
2,99,1007
2,100,1001
2,108,1007
2,109,1006
2,111,1006
2,112,1001
2,115,1002
2,117,1004
2,118,1004
2,119,1007
2,120,1005
2,121,1002
2,122,1005
2,124,1005
2,125,1005
2,126,1006
2,127,1006
2,131,1002
2,132,1005
2,133,1002
2,134,1007
2,135,1006
2,136,1007
2,137,1004
2,139,1002
2,140,1004
2,141,1006
2,142,1003
2,149,1006
2,150,1004
2,151,1002
2,154,1004
2,155,1001
2,156,1001
2,158,1002
2,159,1006
2,160,1002
2,161,1005
2,162,1002
2,163,1003
2,164,1003
2,165,1003
2,166,1003
2,168,1001
2,169,1006
2,170,1006
2,171,1006
2,175,1004
2,176,1002
2,177,1002
2,178,1006
2,181,1002
2,182,1002
2,183,1006
2,185,1002
2,186,1005
2,187,1005
2,189,1005
2,190,1001
2,191,1006
2,193,1005
2,194,1001
2,195,1007
2,197,1004
2,198,1002
2,199,1005
2,201,1002
2,200,1001
2,202,1007
2,206,1007
2,207,1001
2,208,1007
2,209,1007
2,210,1006
2,211,1006
2,212,1003
2,214,1005
2,215,1007
2,216,1004
2,217,1002
2,218,1002
2,220,1004
2,221,1005
2,222,1002
2,223,1003
2,224,1001
2,225,1001
2,226,1003
2,228,1007
2,230,1006
2,233,1002
2,234,1006
2,231,1001
2,235,1006
